word,phonetic_symbol,word_attr,meanings,en_sentence1,cn_sentence1,en_sentence2,cn_sentence2,en_sentence3,cn_sentence3
for,"英 [fə(r)], 美 [fɔr,fə]","prep.,conj.","为，为了；倾向于；关于；当作,因为，由于；",Isn't that enough for you?...,那对你来说不够吗？,I have some free advice for you.,我可以为你提供免费咨询。,I knew he worked for a security firm...,我知道他在一家保安公司工作。
she,"英 [ʃi], 美 [ʃi]",pron.,她，它；,"When Ann arrived home that night, she found Brian in the house watching TV...",那晚安回到家时，看见布赖恩正在屋子里看电视。,She was seventeen and she had no education or employment...,她17 岁，未受过教育，也没有工作。,The student may show signs of feeling the strain of responsibility and she may give up...,学生可能会表现出对责任感到有压力，然后可能会放弃。
this,"英 [ðɪs], 美 [ðɪs]","pron.,adj.,adv.","这，这个；这事，这人；这时；下面所说的事,这，这个；刚过去的，即将到来的；今…，本…；,这样地；就是这样；这么地；,复数：
                                                            ","When food comes out of any oven, it should stand a while. During this delay the centre carries on cooking...",食物出炉后都应该静置一会。在此期间，中心部分还在继续加热。,"On 1 October the US suspended a proposed $574 million aid package for 1991. Of this amount, $250 million is for military purchases.",10 月 1 号，美国暂停了拟议中的一项 1991 年度总计 5.74 亿美元的一揽子援助方案，这其中有 2.5 亿美元是用于军事采购的。,This is what I will do. I will telephone Anna and explain.,下面是我要做的：我要给安娜打电话解释清楚。
you,"英 [ju], 美 [jə]",pron.,"你；你们，您们；各位；大家,复数：
                                                            ",When I saw you across the room I knew I'd met you before...,看到你穿过房间时，我就知道我以前曾经见过你。,You two seem very different to me...,你们两个似乎与我大不一样。,Getting good results gives you confidence...,取得好的结果会给人以信心。
at,"英 [ət], 美 [æt,ət]","prep.,n.","（表示位置）在；在（某时间或时刻）；以，达； 向，朝,阿特（老挝辅币单位，100 阿特 = 1 基普）；",We had dinner at a restaurant in Attleborough...,我们在阿特尔伯勒的一家餐厅里吃的饭。,He will be at the airport to meet her...,他将去机场接她。,"He was shy and nervous as a boy, and unhappy at school...",他小时候既害羞又胆怯，在学校过得并不快乐。
not,"英 [nɒt], 美 [nɑt]",adv.,不；[用以表示否定、否认、拒绝、禁止等]不是；几乎不；未必，没有[用于否定后面的词或短语],The sanctions are not working the way they were intended...,制裁没有发挥预期的作用。,I was not in Britain at the time...,当时我不在英国。,Haven't they got enough problems there already?...,难道他们那儿的问题还少吗？
on,"英 [ɒn], 美 [ɑn]","prep.,adv.,adj.","（表示方向）向；（表示对象）对；（表示位置）在…上；（表示时间）在…之时,（放，穿，连接）上；向前，（继续）下去；,活动着的情况，状态；使用着的；发生着的；计划中的",He is sitting beside her on the sofa...,他挨着她坐在沙发上。,On top of the cupboards are vast straw baskets which Pat uses for dried flower arrangements...,橱柜顶上摆着帕特用来插干花的大草篮。,I admired the peeling paint on the ceiling...,我“观赏”着天花板上正在剥落的油漆。
by,"英 [baɪ], 美 [baɪ]","prep.,adv.","在…旁边；表示方式；由于；经过,经过；表示保留或保存时用；短暂拜访；",The feast was served by his mother and sisters...,这顿美餐是他母亲和他的姐妹们准备的。,I was amazed by their discourtesy and lack of professionalism...,他们的无礼和不专业让我震惊。,...a painting by Van Gogh...,一幅凡·高的画
do,"英 [du], 美 [du]","aux.,vt.,vi.,n.","构成疑问句和否定句；代替动词；用于加强语气；,做；干；进行；从事,表现；进展；引起；行过,社交聚会；社交活动；宴会；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",They don't want to work...,他们不想工作。,I did not know Jamie had a knife...,我不知道杰米有一把刀。,Do you like music?...,你喜欢音乐吗？
would,"英 [wʊd], 美 [wʊd]","aux.,v.","将，将要；愿意；会，打算；大概,(will 的过去式，用于转述)将；",No one believed he would actually kill himself...,没有人相信他真的会自杀。,Would he always be like this?…,他会一直是这个样子吗？,"The statement added that although there were a number of differing views, these would be discussed by both sides...",这项声明还称，虽然双方观点存在若干分歧，但将就这些分歧展开讨论。
which,"英 [wɪtʃ], 美 [hwɪtʃ,wɪtʃ]","pron.,adj.","哪一个；哪一些；哪个；那，指前面提到的事物,哪一个；哪一些；",Which do they want me to do? declare war or surrender?...,"他们想让我做什么,宣战还是投降？",Which are the ones you really like?...,哪些是你们真正喜欢的？,I wanted to know which school it was you went to...,我想知道你上的是哪所学校。
or,"英 [ɔ:(r)], 美 [ɔr]","conj.,prep.,n.","或，或者；还是；不然，否则；左右,在…之前，比…更早；,[纹章]黑金色、黑色；",'Tea or coffee?' John asked...,“喝茶还是喝咖啡？”约翰问道。,Was she blonde or brunette?...,她的头发是金色还是深褐色？,"Items like bread, milk and meat were either unavailable or could be obtained only on the black market...",像面包、牛奶和肉之类的东西要么是买不到，要么就是只能去黑市买。
one,"英 [wʌn], 美 [wʌn]","num.,n.,pron.,adj.","（数字）一；一个；（基数）一，第一；,一个人；一点钟；一体；独一,一个人；任何人；本人，人家；东西,某一个的；一体的；一方的；,复数：
                                                            ",They had three sons and one daughter.,他们有3个儿子，1个女儿。,...one thousand years ago...,"1,000年前",They had alienated the one man who knew the business...,他们弄僵了同那个唯一懂行的人之间的关系。
but,"英 [bət], 美 [bʌt,bət]","conj.,prep.,adv.,n.,pron.,vt.","但是；而是；除了；只因为,除…以外；,只；不过；只是；另一方面,借口；推辞；但是；反对,[关系代词，意义相当于 who…not, which…not]；,对…说“但是”；,复数：
                                                            ","'You said you'd stay till tomorrow.' —  'I know, Bel, but I think I would rather go back.'...",“你说过你要呆到明天的。”——“我知道，贝尔，但我还是想回去。”,Place the saucepan over moderate heat until the cider is very hot but not boiling...,把炖锅置于中火上加热，直到苹果酒变得很烫，但不要加热到沸腾。,They need to recruit more people into the prison service. But another point I'd like to make is that many prisons were built in the nineteenth century.,监狱需要招募更多的工作人员。但我想补充一点，很多监狱都是在19世纪建造的。
from,"英 [frəm], 美 [frʌm]",prep.,（表示时间）从…；（表示原因）因为；（表示来源）来自…；（表示分离）与…分离[隔开],He appealed for information from anyone who saw the attackers.,他呼吁任何看见袭击者的人提供信息。,...an anniversary present from his wife...,他妻子送的纪念日礼物,...an art dealer from Zurich...,来自苏黎世的艺术品商人
make,"英 [meɪk], 美 [mek]","vt.,vi.,n.","做，制造；生产，制定；使成为；使产生,开始；尝试；行进；增大,制造；生产量；性格；形状，样式,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",I'd just like to make a comment...,我只想稍加评论。,I made a few phone calls...,我打了几个电话。,Apparently he made a mess of his  audition...,看样子他把试镜搞砸了。
all,"英 [ɔ:l], 美 [ɔl]","adj.,pron.,adv.,n.","全部的；一切的；各种的；极度的，尽量的,全部；一切；每个人，每件东西；全部情况,全部地；完全地；每个；非常,全体；[常作A-]整体；[常与my, your, his, her等连用]（某人）所有的一切；",...the restaurant that Hugh and all his friends go to...,休和他所有的朋友都光顾的餐馆,He lost all his money at a blackjack table in Las Vegas.,在拉斯维加斯的21点纸牌桌上，他把钱输得精光。,George had to cut grass all afternoon...,乔治整个下午都得割草。
there,"英 [ðeə(r)], 美 [ðer]","adv.,pron.,int.","在那里；那里；在那一点上；,表示某物或某人的存在或某事的发生（常用作be, seem或appear的主语）；,（表示满足、烦恼）你瞧，好啦，得啦；",There are roadworks between Camblesforth and Carlton...,坎布斯福斯和卡尔顿之间的道路在施工。,Are there some countries that have been able to tackle these problems successfully?...,有没有哪些国家已经能成功解决这些问题了？,There remains considerable doubt over when the intended high-speed rail link will be complete...,人们对于拟建的高速铁路何时能竣工仍存有很大疑问。
when,"英 [wen], 美 [wɛn]","adv.,conj.,pron.,n.","什么时候；（用于时间的表达方式之后）在那时；其时；当时,在…时；既然；如果；,什么时候；那时；,时间，时候；日期；场合；",When are you going home?...,你什么时候回家？,When did you get married?...,你什么时候结的婚？,"When eating a whole cooked fish, you should never turn it over to get at the flesh on the other side...",吃一整条鱼时，切忌把它翻过来去吃另一面的肉。
will,"英 [wɪl], 美 [wɪl]","n.,vt.,vi.,aux.","愿意；意志（力）；[法]遗嘱；,决心要；将（财产等）遗赠某人；用意志力驱使（某事发生）；,愿意， 希望， 想要；,将，将会；会，要；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",The Prime Minister is now 64 years old and in all probability this will be the last election that he is likely to contest...,首相现年64岁，这多半将会是他可能参加的最后一次选举了。,You will find a wide variety of choices available in school cafeterias...,在学校的自助餐厅里你会发现有很多饮食可供选择。,The show will be open to the public at 2pm; admission will be 50p...,演出下午两点开始，入场费50便士。
say,"英 [seɪ], 美 [se]","vi.,vt.,n.","说， 讲；表明，宣称；假设；约莫,表明；念；说明；比方说,发言权；说话；要说的话；发言权,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ","'I'm sorry,' he said...",“对不起，”他说。,She said they were very impressed...,她说他们被深深打动了。,I would just like to say that this is the most hypocritical thing I have ever heard in my life...,我只想说这是我这辈子听说过的最虚伪的事情。
who,"英 [hu:], 美 [hu]",pron.,谁；什么人；关系代词，有先行词；孰,Who's there?...,谁在哪儿？,Who is the least popular man around here?...,这里谁最不受欢迎？,Police have not been able to find out who was responsible for the forgeries...,警方还未能查明谁是这些造假案的元凶。
more,"英 [mɔ:(r)], 美 [mɔ:(r)]","adv.,adj.,pron.,n.","更，更多；达到或处于更大的范围或程度；此外，更加；,更多的；（many）的比较级；附加的，额外的；,更多的或附加的人或事物；,更多；附加，添加；",More and more people are surviving heart attacks...,越来越多的心脏病患者存活下来。,He spent more time perfecting his dance moves instead of gym work.,他把更多的时间用于完善舞蹈动作，而不是健身训练。,The Afghan authorities say the airport had been closed for more than a year.,阿富汗当局称，该机场已经关闭一年多了。
other,"英 [ˈʌðə(r)], 美 [ˈʌðər]","adj.,pron.,n.","别的；其他的；（两个中的）另一个；其余的,其他的；（指两个人或事物中的第二个）那个；（指一组中其余的人或事物）其余的；（指与说话人所在位置等相反的方向或地点）另一边,[the other]对立面；对立的事物；,复数：
                                                            ",They were just like any other young couple...,他们同别的年轻夫妇没什么两样。,The communique gave no other details.,这份公报并未透露其他细节。,The authorities insist that the discussions must not be linked to any other issue...,当局坚持此次讨论不得涉及其他任何问题。
man,"英 [mæn], 美 [mæn]","n.,vt.,int.","男人；人类；男子汉；雇工,使振作；操纵；给…配置人员；在…就位,（表示惊讶、气愤等）嘿，天哪；,复数：
                                                            过去式：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",He had not expected the young man to reappear before evening...,他没想到这位年轻男子会在黄昏前再次出现。,I have always regarded him as a man of integrity.,我一向认为他是个正直的人。,The chick initially has no fear of man...,小鸡天生并不怕人。
can,"英 [kæn], 美 [kæn]","aux.,vt.,n.","能；能够；可以；可能,将…装入密封罐中保存；,罐头；（用金属或塑料制作的）容器；（马口铁或其他金属制作的）食品罐头；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Pork is also the most versatile of meats. It can be roasted whole or in pieces...,"在肉类中,猪肉的做法也是最多的,可以整块烤来吃,也可以切片烤来吃。","Luckily, iron can be reworked and mistakes don't have to be thrown away...","所幸的是,铁可以再加工,次品、废品不必被扔掉。","Don't worry yourself about me, I can take care of myself...","你别担心我,我能照顾好自己。"
if,"英 [ɪf], 美 [ɪf]","conj.,n.","如果，倘若；即使；〈口〉是否；假设,条件，设想；,复数：
                                                            ",She gets very upset if I exclude her from anything...,"要是有什么事情我不让她参加,她会非常难过。",You'll feel a lot better about yourself if you work on solutions to your upsetting situations...,"如果你设法找到解决自己麻烦的办法,你自我感觉会好得多。","He asked if I had left with you, and I said no...","他问我是否和你一块儿离开的,我说不是。"
no,"英 [nəʊ], 美 [noʊ]","adv.,adj.,n.,abbr.","不；否；一点也没有；,没有的；不许的；一点儿也没有；决不是的,不；否定，否认；反对票；否决票,数字(number)；元素锘(nobelium)的符号；,复数：
                                                            ","'Any problems?' — 'No, I'm O.K.'...",“有问题吗？”——“没有，我挺好的。”,'Haven't you got your driver's licence?' — 'No.',“你难道没有拿到驾照吗？”——“没有。”,"'We thought you'd emigrated.' — 'No, no.'...",“我们以为你移居国外了。”——“不，没有。”
out,"英 [aʊt], 美 [aʊt]","adv.,prep.,vt.,adj.,n.","出局；在外，在外部；完全，彻底；出版,（表示来源）从；（从…里）出来；（表示不在原状态）脱离；离去,使熄灭；揭露；驱逐；,外面的；出局的；下台的；外围的,不流行；出局；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Carefully pull out the centre pages...,小心翼翼地抽出中间的几页。,He took out his notebook and flipped the pages...,他掏出笔记本，飞快地翻着。,"It's hot out — very hot, very humid.",外面很热——非常炎热而且非常潮湿。
than,"英 [ðən], 美 [ðən]","conj.,prep.","比（用于比较级）；宁愿…而不愿；除…以外；一…就,超过；比；",The radio only weighs a few ounces and is smaller than a cigarette packet...,这台收音机重量仅为几盎司，比香烟盒还小。,Indian skins age far more slowly than American or Italian ones.,印度人的皮肤比美国人或意大利人的皮肤衰老得慢得多。,They talked on the phone for more than an hour.,他们在电话里谈了一个多小时。
up,"英 [ʌp], 美 [ʌp]","adv.,adj.,vt.& vi.,prep.,n.","在上面，在高处；起床，起来；向上；由低到高,向上的；上升的；竖立的，垂直的；举起的,增加；加速；提高；举起，拿起,在…的上端；向高处；沿…而去；向…上游,上升，升高；兴旺，繁荣；上坡；（价格等）上涨,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",They were climbing up a narrow mountain road...,他们正沿一条狭窄的山路向上爬。,I ran up the stairs and saw Alison lying at the top...,我跑上楼梯，见艾莉森躺在那里。,He was up a ladder sawing off the tops of his apple trees...,他正站在梯子顶上锯他那颗苹果树的树冠。
what,"英 [wɒt], 美 [wɑt]","pron.,adj.,adv.,int.","（用以询问某人或某事物的词）什么，多少；…的事物；,…的（事物或人）；,（用于感叹句中）；,（用以表示不相信或惊奇）；（用以表示未听清楚对方说的话）；",What do you want?...,你想要什么？,"What did she tell you, anyway?...",总之，她告诉了你什么？,You can imagine what it would be like driving a car into a brick wall at 30 miles an hour...,你可以想象汽车以每小时30英里的速度撞向一堵砖墙结果会怎样。
go,"英 [gəʊ], 美 [goʊ]","vi.,vt.,n.","走；离开；去做；进行,变得；发出…声音；成为；处于…状态,轮到的顺序；精力；干劲；尝试,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",We went to Rome...,我们去了罗马。,Gladys had just gone into the kitchen...,格拉迪丝刚进厨房。,Let's go...,我们走吧。
about,"英 [əˈbaʊt], 美 [əˈbaʊt]","prep.,adv.,adj.","关于；大约；在…周围；,大约；在附近；在四周；几乎,在附近的；四处走动的；在起作用的；在流行中的","She came in for a coffee, and told me about her friend Shona...",她进来喝了杯咖啡，并向我谈起了她的朋友肖纳。,She knew a lot about food...,她对食物很在行。,Leadership is about the ability to implement change.,领导才能就是要有实施变革的能力。
time,"英 [taɪm], 美 [taɪm]","n.,vt.,vi.,adj.,int.","时间；时刻；时代；次,为…安排时间；测定…的时间；调准（机械的）速度；拨准（钟、表）的快慢,合拍；和谐；打拍子；,定时的；定期的；[美国英语]分期（付款）的；,[体育]时间到，（一场或一局等的）比赛时限，暂停；,复数：
                                                            过去式：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",...a two-week period of time...,两周的时间,"Time passed, and still Ma did not appear...",时间一点点过去，马先生仍然没有出现。,'What time is it?' — 'Eight o'clock.'...,“几点钟了？”——“8点钟。”
so,"英 [səʊ], 美 [soʊ]","adv.,conj.,pron.,int.,adj.","这样；很；（表示程度）这么；同样,（表示因果关系）因此；（表示目的）为了；（引出下文）；（认为某事无关紧要，尤用于反驳他人的指责时）（口语）,如此；这样；大约；左右,[表示同意、赞成等] 好啦，就这样吧！停下！（停住）别动！；[表示惊讶、冷淡等] 哦；真的吗；,真的；事实如此的；如此的；整齐的",'Do you think that made much of a difference to the family?' — 'I think so.'...,“你认为那会给这个家庭带来很大的变化吗?”——“我认为是这样的。”,"If you can't play straight, then say so...",要是你无法做到诚实坦率，就直说吧。,I enjoy Ann's company and so does Martin...,我喜欢和安在一起，马丁也一样。
could,"英 [kəd], 美 [kʊd]",aux.,“can”的过去式；能够，打算；用于假设语气的条件句；用于虚拟语气的结论句,"For my return journey, I felt I could afford the extra and travel first class...",至于回程，我觉得我能多花点钱坐头等舱。,I could see that something was terribly wrong...,我能觉察到有什么事很不对头。,"Though he had a temper and could be nasty, it never lasted...",虽然他爱发脾气，而且有时还很讨厌，但向来都只是一阵儿。
some,"英 [səm], 美 [sʌm]","adj.,pron.,adv.","一些；某个；大约；相当多的,一些；若干；其中的一部分；（数量不确切时用）有些人,非常；相当；稍微；",Robin opened some champagne...,罗宾开了一些香槟。,"Heat a couple of tablespoons of olive oil, a chopped clove of garlic and some black pepper in a heavy saucepan...",将几勺橄榄油、一片切碎的蒜瓣和一些黑胡椒粉放入深平底锅里加热。,The question of local government finance has been the subject of debate for some years...,地方政府的财政问题已经争论了好些年。
new,"英 [nju:], 美 [nu]","adj.,adv.","新的，崭新的；新鲜的，新到的；现代的；初次（听到）的,新近，最近；",They've just opened a new hotel in the Stoke area...,他们刚在斯托克地区开了一家新宾馆。,"The new invention ensures the beer keeps a full, frothy head.",这项新发明能保证啤酒始终保持丰富的泡沫。,That afternoon she went out and bought a new dress...,那天下午她出门买了一件新裙子。
year,"英 [jɪə(r)], 美 [jɪr]",n.,"年；年纪；一年的期间；某年级的学生,复数：
                                                            ",The year was 1840...,那是1840年。,We had an election last year.,去年我们进行了一次选举。,The museums attract more than two and a half million visitors a year...,这些博物馆一年能吸引逾250万名参观者。
state,"英 [steɪt], 美 [stet]","n.,vt.,adj.","国家；州；状况，情况；资格,规定；陈述，声明；,国家的；国务的，公务的；正式的；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Mexico is a secular state and does not have diplomatic relations with the Vatican...,墨西哥是个世俗国家，和梵蒂冈没有外交关系。,Some weeks ago I recommended to EU member states that we should have discussions with the Americans.,几周前，我曾向欧盟成员国提议我们应该和美国人进行磋商。,Leaders of the Southern states are meeting in Louisville.,南部一些州的领导正在路易斯维尔开会。
into,"英 [ˈɪntə], 美 [ˈɪntu]",prep.,（表示方向）进入…中；（表示所属）输入；（表示状态）进入…状态；（表示时间）持续到,Combine the remaining ingredients and put them into a dish...,把剩下的配料调和好，放到一个盘子里。,Until the 1980s almost all olives were packed into jars by hand.,"直到 20 世纪 80 年代,几乎所有的橄榄都是手工装罐的。",I have no idea how he got into Iraq...,我不知道他是怎样进入伊拉克的。
only,"英 [ˈəʊnli], 美 [ˈoʊnli]","adj.,adv.,conj.","唯一的；仅有的；最好的，最适当的；,只，仅仅；结果却，不料；,但是，可是；要不是；",Only the President could authorize the use of the atomic bomb...,只有总统才能授权使用原子弹。,...the guidance and discipline that can be provided only by a strong male...,只有强有力的男性才能给予的指导和训练,The lawyer is paid only if he wins...,只有官司赢了才支付律师费。
we,,,,,,,,,
these,"英 [ði:z], 美 [ðiz]","adj.,pron.","这些的；,这些；",Switch to an interest-paying current account and stay in credit. Most banks and larger building societies now offer these accounts...,转成付息的活期存款账户，并保持账上有余额。多数银行和较大的购房互助会现在都能开立这种账户。,A steering committee has been formed. These people can make decisions in ten minutes which would usually take us months.,已经成立了一个指导委员会。我们通常要几个月才能决定的事，这些人在 10 分钟内就能作出决定。,"Your camcorder should have these basic features: autofocus, playback facility, zoom lens...",你的便携式摄像机应该具备以下基本功能：自动聚焦、回放功能、变焦镜头。
use,"英 [ju:s], 美 [jus]","n.,v.","使用；使用权；功能；,使用；运用；消耗；服用,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Trim off the excess pastry using a sharp knife...,用一把快刀切去多余的饼皮。,He had simply used a little imagination...,他只不过是用了一点点想象力。,You used all the ice cubes and didn't put the ice trays back...,你把所有的冰块都用完了，又不把冰格放回去。
know,"英 [nəʊ], 美 [noʊ]","v.,n.","知道；了解；认识；确信,知情；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",I don't know the name of the place...,我不知道那个地方的名字。,I know that you led a rifle platoon during the Second World War...,我知道你在二战期间率领一个步枪排。,Gifford was a friend. I'd known him for nine years...,吉福德是我的一位朋友。我和他认识9年了。
take,"英 [teɪk], 美 [tek]","vt.,vi.,n.","拿，取；采取；接受（礼物等）；耗费（时间等）,拿；获得；,镜头；看法；收入额；场景,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",She was too tired to take a shower...,她累得连澡都懒得冲。,Betty took a photograph of us...,贝蒂给我们照了张相。,The Patriotic Front took power after a three-month civil war...,经过 3 个月内战，爱国阵线夺取了政权。
see,"英 [si:], 美 [si]","vt.& vi.,n.","看见；领会，理解；查看；参观,主教教区；主教权限；牧座；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",You can't see colours at night...,晚上看不见颜色。,I saw a man making his way towards me...,我看到一名男子向我走来。,I saw him yesterday...,我昨天见到他了。
get,"英 [get], 美 [ɡɛt]","vt.,vt.& vi.,vi.,n.","得到；抓住；说服；受到（惩罚等）,到达，来；,成为；开始；设法对付；获得利益或财富,生殖，幼兽；赢利；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",The boys were getting bored...,男孩子们开始感到厌烦。,There's no point in getting upset...,苦恼是无谓的。,Half the pleasure of an evening out is getting ready...,晚上外出时一半的乐趣在于出门前的准备。
